,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
0,BNP Paribas,"Data Analyst, IG Hub APAC",Data Analyst,Hong Kong,3.7,10000+ Employees,2000,Company - Public,Banks & Credit Unions,Finance,,,
1,TBM The Beauty Medical,Data Analyst,Data Analyst,Hong Kong,3.9,,,,,,,,
2,Pernod Ricard,Data Analyst,Data Analyst,,4.1,10000+ Employees,1975,Company - Private,Food & Beverage Manufacturing,Manufacturing,,,
3,Hays,Data Business Analyst (ETL),Data Analyst,Hong Kong,3.7,5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,Business Services,,,
4,Seamatch Asia,System Analyst / Data Scientist,Data Analyst,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,,,
5,Page Personnel,(Senior) Data Analyst (SAS & SQL) - Banking,Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,,,
6,APASS International,Business/ Data Analyst (Finance) (1-Year Contract),Data Analyst,Hong Kong,5.0,Unknown,,Company - Private,,,HK$204K - HK$300K,204.0,300.0
7,中国太平人寿保险(香港)有限公司,Data Analyst,Data Analyst,Hong Kong,3.9,,,,,,,,
8,Michael Page HK,(Senior) Data Analyst (SAS & SQL) - Banking,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
9,Global Executive Consultants,Data Analyst / BI Specialist (HKD $45 - 55K),Data Analyst,Hong Kong,3.0,1 to 50 Employees,,Contract,,,HK$185K - HK$420K,185.0,420.0
10,Page Personnel,"Data Analyst (Python, R, SQL)",Data Analyst,Hong Kong,4.2,Unknown,,Company - Public,,,,,
11,The Hong Kong Jockey Club,Senior Big Data Analytics Modelling Analyst (Retail),Data Analyst,Happy Valley,3.6,10000+ Employees,1884,Non-profit Organisation,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation",HK$96K - HK$192K,96.0,192.0
12,lalamove,Data Analyst,Data Analyst,Hong Kong,3.6,501 to 1000 Employees,2013,Company - Private,Logistics & Supply Chain,Transportation & Logistics,,,
13,Hays,Data Analyst - International Firm (Service Industry),Data Analyst,Hong Kong,3.7,5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,Business Services,,,
14,Momenta,Data Analyst,Data Analyst,Kowloon City,2.6,1 to 50 Employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,,,
15,Great Union Human Capital,"Data Analyst (SAS, Commercial Bank)",Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Unknown,,,HK$240K - HK$430K,240.0,430.0
16,Randstad,Data Analyst | MNC | FMCG,Data Analyst,Hong Kong,3.9,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Services,,,
17,Salt Recruitment,Data Analyst,Data Analyst,Hong Kong,3.3,201 to 500 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,HK$204K - HK$430K,204.0,430.0
18,HGC Global Communications Limited,Data Analyst,Data Analyst,Hong Kong,2.9,1001 to 5000 Employees,,Company - Private,,,HK$204K - HK$430K,204.0,430.0
19,The Floor,Data Analyst,Data Analyst,Hong Kong,4.2,1 to 50 Employees,,Company - Private,,,,,
20,Transin Holding Limited,Data Analyst,Data Analyst,Cyberport,0.0,Unknown,,Company - Public,,,HK$204K - HK$405K,204.0,405.0
21,SUPER Corporate Consultancy Group,DATA ANALYST (BANK PROJECTS),Data Analyst,Hong Kong,0.0,1 to 50 Employees,,Company - Private,,,HK$204K - HK$423K,204.0,423.0
22,MoneySQ Limited,Data Analyst,Data Analyst,Hong Kong,3.0,51 to 200 Employees,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
23,Michael Page HK,Data Analyst,Data Analyst,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,HK$204K - HK$420K,204.0,420.0
24,Yusen Logistics Global Management Limited,Manager -Data Analyst Team,Data Analyst,Hong Kong,3.9,,,,,,,,
25,Match Talent,Data Analyst – Data Lab,Data Analyst,Hong Kong,5.0,Unknown,,Company - Private,,,,,
26,Bravo Personnel Consultancy Limited,"Analyst, Data Quality (25K)",Data Analyst,Chai Wan,0.0,Unknown,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
27,Arup,Data Analyst,Data Analyst,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,HK$236K,236.0,236.0
28,Swing Consulting,Data Analyst,Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,,,
29,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Data Analyst,Hong Kong,0.0,,,,,,HK$240K - HK$360K,240.0,360.0
30,HSBC,Data Quality Analyst - Wealth and Personal Banking,Data Analyst,Kowloon City,3.7,10000+ Employees,1865,Company - Public,Banks & Credit Unions,Finance,,,
31,DFS Group,Data Privacy Analyst,Data Analyst,Hong Kong,3.6,5001 to 10000 Employees,1960,Subsidiary or Business Segment,"Gift, Novelty & Souvenir Stores",Retail,,,
32,Transin Holding Limited,Data Analyst,Data Analyst,Hong Kong,0.0,Unknown,,Company - Public,,,HK$198K - HK$511K,198.0,511.0
33,Simatelex,Data Analyst / Assistant Data Analyst,Data Analyst,Hong Kong,3.0,Unknown,,Company - Private,,,,,
34,DBS Bank,"Officer, Data Analyst, T&M (HKMA Banking Talent Programme 2021)",Data Analyst,Hong Kong,3.8,10000+ Employees,1968,Company - Public,Banks & Credit Unions,Finance,,,
35,BNP Paribas,"Data Analyst, IG Hub APAC",Data Analyst,Hong Kong,3.8,10000+ Employees,2000,Company - Public,Banks & Credit Unions,Finance,,,
36,Hong Kong Baptist University,Systems Analyst (Data Analytics),Data Analyst,Hong Kong,3.9,1001 to 5000 Employees,1956,College / University,Colleges & Universities,Education,,,
37,UBS,AML Transaction Monitoring Analyst,Data Analyst,Hong Kong,3.4,10000+ Employees,1862,Company - Public,Investment Banking & Asset Management,Finance,,,
38,Deskimo,DATA ANALYST (SUMMER INTERN 2021),Data Analyst,Hong Kong,4.0,,,,,,HK$126K,126.0,126.0
39,Urban Spring,Senior Data Analyst,Data Analyst,Kowloon City,4.0,,,,,,HK$540K,540.0,540.0
40,TBM The Beauty Medical,Data Analyst,Data Analyst,Hong Kong,0.0,,,,,,,,
41,Millennium Management LLC,Data Scientist / Analyst,Data Analyst,Hong Kong,4.1,1001 to 5000 Employees,1989,Company - Private,Investment Banking & Asset Management,Finance,,,
